iter	Passed	Remaining
0	56	56781
1	58	29114
2	59	19869
3	61	15257
4	62	12474
5	64	10645
6	65	9323
7	67	8324
8	68	7546
9	69	6925
10	71	6418
11	72	5994
12	74	5639
13	75	5330
14	77	5063
15	78	4828
16	79	4619
17	81	4431
18	82	4264
19	84	4116
20	85	3982
21	86	3861
22	88	3750
23	89	3652
24	91	3559
25	92	3477
26	94	3398
27	96	3352
28	98	3309
29	101	3266
30	102	3210
31	104	3165
32	106	3129
33	109	3101
34	110	3045
35	111	2988
36	113	2955
37	116	2936
38	117	2905
39	119	2864
40	120	2826
41	122	2793
42	124	2760
43	125	2725
44	126	2690
45	128	2659
46	129	2629
47	131	2599
48	132	2571
49	133	2545
50	135	2519
51	136	2488
52	138	2467
53	139	2446
54	141	2423
55	142	2401
56	143	2380
57	145	2359
58	146	2338
59	148	2319
60	149	2299
61	150	2280
62	152	2262
63	153	2245
64	155	2229
65	155	2205
66	157	2189
67	158	2173
68	159	2158
69	161	2143
70	162	2128
71	164	2114
72	165	2100
73	166	2087
74	168	2075
75	169	2063
76	171	2056
77	173	2051
78	175	2042
79	176	2031
80	178	2020
81	179	2009
82	180	1998
83	182	1994
84	184	1987
85	186	1977
86	187	1969
87	189	1958
88	190	1948
89	191	1937
90	193	1929
91	194	1919
92	195	1910
93	197	1901
94	198	1892
95	199	1883
96	201	1874
97	202	1865
98	203	1856
99	205	1848
100	206	1836
101	208	1831
102	209	1823
103	210	1815
104	212	1808
105	213	1801
106	215	1794
107	216	1787
108	217	1779
109	219	1773
110	220	1765
111	222	1760
112	223	1753
113	224	1746
114	226	1740
115	227	1733
116	228	1727
117	230	1721
118	231	1714
119	232	1708
120	234	1704
121	236	1699
122	237	1693
123	238	1687
124	240	1681
125	241	1676
126	242	1670
127	244	1664
128	245	1658
129	246	1652
130	248	1647
131	249	1642
132	251	1636
133	251	1628
134	253	1622
135	254	1617
136	256	1612
137	257	1607
138	258	1603
139	260	1598
140	261	1592
141	262	1585
142	263	1581
143	265	1576
144	266	1572
145	268	1568
146	269	1564
147	270	1560
148	272	1555
149	273	1551
150	275	1546
151	276	1542
152	277	1537
153	279	1533
154	280	1529
155	281	1524
156	283	1521
157	284	1517
158	286	1512
159	287	1508
160	288	1504
161	290	1500
162	291	1496
163	292	1492
164	294	1488
165	295	1484
166	296	1480
167	298	1476
168	299	1473
169	301	1469
170	302	1466
171	303	1462
172	305	1459
173	306	1455
174	308	1452
175	309	1448
176	310	1445
177	312	1441
178	313	1437
179	314	1434
180	316	1431
181	317	1428
182	319	1424
183	320	1421
184	321	1418
185	323	1414
186	324	1411
187	325	1407
188	327	1404
189	328	1401
190	329	1397
191	331	1394
192	332	1391
193	334	1387
194	335	1384
195	337	1382
196	338	1379
197	339	1376
198	341	1372
199	342	1369
200	343	1366
201	345	1363
202	346	1359
203	347	1356
204	349	1353
205	350	1351
206	352	1350
207	353	1347
208	355	1344
209	356	1341
210	357	1338
211	359	1335
212	360	1332
213	361	1329
214	363	1326
215	364	1323
216	365	1320
217	367	1317
218	368	1314
219	370	1311
220	371	1309
221	372	1306
222	374	1303
223	375	1301
224	376	1298
225	378	1295
226	379	1293
227	381	1290
228	382	1287
229	383	1285
230	385	1282
231	386	1279
232	387	1277
233	389	1274
234	390	1272
235	392	1269
236	393	1266
237	395	1264
238	396	1262
239	397	1260
240	399	1257
241	400	1255
242	402	1252
243	402	1248
244	404	1245
245	405	1242
246	406	1240
247	408	1238
248	409	1235
249	411	1233
250	412	1230
251	413	1228
252	415	1225
253	416	1223
254	417	1220
255	419	1218
256	420	1216
257	421	1213
258	423	1210
259	424	1208
260	425	1205
261	427	1205
262	428	1201
263	430	1199
264	431	1197
265	433	1195
266	434	1192
267	435	1190
268	437	1188
269	438	1186
270	439	1183
271	441	1181
272	442	1178
273	444	1176
274	445	1174
275	446	1171
276	448	1169
277	449	1167
278	451	1166
279	453	1164
280	454	1162
281	455	1160
282	457	1158
283	458	1156
284	460	1154
285	461	1151
286	462	1149
287	464	1147
288	465	1145
289	466	1142
290	468	1140
291	469	1138
292	470	1136
293	472	1133
294	473	1131
295	475	1130
296	476	1128
297	477	1125
298	479	1123
299	480	1121
300	482	1119
301	483	1118
302	485	1116
303	486	1113
304	488	1112
305	489	1111
306	491	1109
307	493	1109
308	495	1107
309	496	1105
310	498	1103
311	499	1101
312	500	1099
313	502	1097
314	503	1095
315	504	1093
316	506	1091
317	508	1090
318	509	1088
319	511	1086
320	512	1083
321	513	1081
322	515	1079
323	516	1077
324	517	1075
325	519	1073
326	520	1071
327	521	1069
328	523	1067
329	524	1065
330	526	1063
331	527	1061
332	528	1059
333	530	1057
334	531	1055
335	532	1053
336	534	1051
337	535	1049
338	537	1047
339	538	1045
340	539	1043
341	541	1041
342	542	1039
343	543	1037
344	545	1035
345	546	1033
346	547	1031
347	549	1029
348	550	1027
349	552	1025
350	553	1023
351	554	1021
352	556	1020
353	558	1018
354	559	1015
355	560	1013
356	561	1011
357	563	1009
358	564	1007
359	565	1005
360	567	1003
361	568	1002
362	570	1000
363	571	998
364	572	996
365	574	994
366	575	992
367	577	991
368	578	989
369	579	987
370	581	985
371	582	983
372	583	981
373	585	979
374	585	976
375	587	975
376	588	973
377	590	971
378	591	969
379	592	966
380	593	964
381	595	962
382	596	960
383	597	959
384	599	957
385	600	955
386	602	953
387	603	952
388	604	950
389	606	948
390	608	947
391	610	947
392	613	946
393	615	946
394	617	946
395	620	945
396	622	945
397	624	944
398	626	943
399	628	942
400	630	942
401	632	941
402	634	940
403	637	940
404	639	939
405	641	937
406	642	936
407	644	935
408	647	935
409	649	934
410	651	934
411	654	933
412	655	931
413	657	930
414	658	928
415	660	927
416	662	926
417	664	925
418	666	923
419	668	922
420	669	920
421	670	918
422	672	917
423	673	915
424	675	913
425	676	911
426	678	910
427	679	908
428	681	906
429	682	904
430	684	903
431	685	901
432	686	899
433	688	897
434	689	895
435	690	893
436	692	891
437	693	889
438	694	888
439	696	886
440	697	884
441	699	882
442	700	880
443	702	879
444	703	877
445	704	875
446	706	873
447	707	871
448	708	869
449	710	867
450	711	865
451	712	864
452	714	862
453	715	860
454	716	858
455	718	856
456	719	855
457	720	853
458	722	851
459	723	849
460	725	847
461	726	845
462	727	844
463	729	842
464	730	840
465	731	838
466	733	836
467	734	834
468	735	833
469	737	831
470	738	829
471	739	827
472	741	826
473	743	824
474	744	823
475	745	821
476	747	819
477	749	818
478	750	816
479	751	814
480	753	812
481	754	811
482	756	809
483	757	807
484	758	805
485	760	804
486	761	802
487	762	800
488	764	798
489	765	796
490	766	794
491	768	793
492	769	791
493	770	789
494	772	787
495	773	786
496	775	784
497	777	783
498	778	782
499	780	780
500	782	779
501	783	777
502	784	775
503	786	773
504	787	772
505	788	770
506	790	768
507	791	766
508	793	765
509	794	763
510	795	761
511	797	759
512	798	758
513	800	756
514	802	755
515	803	753
516	805	752
517	806	750
518	808	748
519	809	747
520	810	745
521	812	743
522	813	742
523	814	740
524	816	738
525	817	736
526	819	735
527	820	733
528	821	731
529	823	729
530	824	728
531	825	726
532	828	725
533	829	724
534	831	722
535	833	721
536	834	719
537	836	718
538	838	717
539	840	715
540	842	714
541	844	713
542	846	712
543	848	711
544	850	710
545	852	708
546	853	706
547	855	705
548	856	703
549	857	701
550	860	700
551	861	699
552	863	697
553	863	695
554	865	693
555	866	692
556	868	690
557	869	688
558	870	686
559	872	685
560	873	683
561	875	681
562	876	680
563	877	678
564	879	676
565	880	675
566	881	673
567	883	671
568	884	670
569	885	668
570	887	666
571	888	664
572	890	663
573	891	661
574	892	660
575	894	658
576	895	656
577	896	654
578	898	653
579	899	651
580	901	649
581	902	648
582	903	646
583	905	644
584	906	643
585	908	641
586	909	639
587	910	638
588	912	636
589	913	635
590	915	633
591	916	631
592	918	630
593	920	629
594	921	627
